id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01453.1,0.6415,0.8795,0.623,0.8502,1.2433,0.7916,0.8452,1.3711,0.9777,1.2585,0.9213,1.4406,2.0659,2.2039,1.2887,4.134,3.1086,3.0992,3.0252,4.7743,3.12
AT1G01453.2,0.5819,0.7977,0.5337,0.7711,1.1276,0.7179,0.7666,1.2435,0.8867,1.1414,0.7976,1.3065,1.8736,1.9749,1.1687,3.7491,2.8192,2.8106,2.7435,4.3297,2.8003
AT1G01750.1,8.5865,8.1908,5.0082,4.9232,7.6397,4.4253,4.4749,5.9064,6.8889,9.4538,7.0323,7.6036,13.1858,13.2635,12.337,20.4598,19.4267,15.9746,14.9523,19.4766,20.5024
AT1G02570.1,2.947,3.4131,1.1453,1.9833,3.2955,2.2412,2.0127,2.888,3.5549,2.6037,4.5158,3.3362,2.692,5.2117,2.37,6.8141,9.0068,6.6923,4.8739,8.9627,8.3224
AT1G03090.1,3.5123,3.0447,7.9114,4.6023,3.3583,4.4126,3.111,4.5308,4.1417,5.74,1.9089,5.8234,4.3309,3.6468,7.1071,5.7868,6.7887,10.9989,18.8811,21.2624,18.4882
AT1G03090.2,3.4323,3.013,7.7756,4.5092,3.2962,4.3471,3.1022,4.4426,4.1031,5.7103,1.8654,5.7045,4.26,3.6424,6.9912,5.6833,6.6994,10.8542,18.6289,20.9266,18.1084
AT1G04180.1,0.3525,0.7468,0.2134,1.2279,0.5612,0.1925,0.5094,0.5872,0.4013,1.3814,1.103,1.0124,2.126,1.2446,1.3831,1.5689,1.098,0.9473,1.7454,1.57,0.8763
AT1G04310.1,6.5574,6.523,6.2199,7.6674,6.1496,5.1525,6.1761,6.9561,6.8272,13.2973,8.3951,10.4798,14.4021,9.0629,15.274,10.8314,13.8464,15.143,18.2236,18.5504,17.7381
AT1G05010.1,32.119,39.9863,24.0292,41.9891,36.0919,21.4049,28.5068,24.2875,31.2497,76.4956,47.1491,63.9188,157.1083,112.5205,221.7554,107.4874,113.7648,145.2524,187.3709,190.7896,183.5218
AT1G05020.1,0.3877,0.3916,0.2394,0.4546,0.4644,0.2142,0.4004,0.2596,0.2706,0.7783,0.5975,1.09,1.2626,1.3642,1.8767,1.3699,1.5146,2.2317,2.2514,2.4544,2.1161
AT1G05240.1,28.1356,24.4368,13.4387,16.7689,24.974,21.7981,13.4823,19.4531,31.8524,25.1174,28.3411,27.1704,34.0707,45.0023,26.0748,64.8122,64.1309,66.9115,64.7096,80.0114,88.9065
AT1G05250.1,25.6772,22.6014,11.8566,13.8648,24.4641,19.4184,11.7561,20.3866,27.9933,23.0278,27.5119,24.5607,31.3185,41.7198,24.9249,64.5113,58.674,64.3872,59.9979,76.8259,84.9313
AT1G05990.1,0.3757,0.1654,0.195,0.3599,0.3152,0.7154,0.2267,0.0668,0.6104,0.5895,0.5491,0.5998,0.3634,0.8846,0.8714,0.9294,1.3127,2.1022,0.9445,1.0991,1.4455
AT1G06030.1,0.0447,0.1288,0.1896,0.1804,0.1109,0.3283,0.08,0.1544,0.2853,0.3012,0.0467,0.2454,0.1066,0.1441,0.3914,0.5784,0.5663,0.8096,0.7776,1.2234,1.4048
AT1G06080.1,37.1954,44.2499,17.9946,42.3451,50.2148,28.2429,39.4229,25.2602,24.9555,51.4469,79.7555,38.0536,256.9475,189.3658,199.2689,175.805,213.9887,163.2843,228.9092,217.7976,193.2914
AT1G06330.1,2.0462,2.041,0.5627,1.9094,2.574,1.9001,2.0174,1.6326,0.8326,2.1911,3.0122,1.7839,6.0699,7.0042,3.9049,8.5237,6.0147,3.1812,5.3713,6.1934,5.3771
AT1G07690.1,1.5791,2.1275,2.6536,1.2514,1.3942,1.9806,0.9518,1.0943,2.4327,2.5285,1.7367,2.4568,2.4779,3.1023,3.6374,6.7925,3.7937,8.8046,2.9537,5.0357,3.1365
AT1G08630.3,0.2214,0.3465,0.5175,0.1949,0.2123,0.4942,0.3425,0.4432,0.4364,0.8666,0.4288,0.7812,1.067,1.6308,1.4642,3.9547,3.8358,6.8536,18.4969,17.4546,20.5658
