id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01600.1,9.6037,13.0419,6.994,16.8154,13.1772,6.1761,10.1231,8.8613,8.0279,10.4568,9.0036,9.2194,12.0329,12.5148,11.3002,11.6347,13.8194,12.9512,16.951,16.835,13.3955
AT1G01640.2,8.0297,13.8523,9.5025,10.8852,13.1723,10.5229,11.836,10.1045,9.5283,9.6667,12.4002,7.7486,15.5475,14.4232,12.0925,20.8957,19.1007,13.1407,23.6365,22.5036,14.8453
AT1G01640.1,7.7712,13.6778,9.3906,10.8344,12.9536,10.2527,11.5882,9.8885,9.2033,9.6307,11.9767,7.5299,15.0703,14.1897,11.5432,20.7784,18.4809,12.7743,23.3438,22.3222,14.3945
AT1G01725.1,7.9817,8.4334,8.9306,7.687,8.3473,10.3334,9.1431,13.7491,9.4562,11.2202,7.1046,7.6384,8.8949,11.4897,10.2129,13.1842,12.7485,11.9361,14.8872,15.1619,13.6918
AT1G01770.1,2.6149,2.0793,3.4506,2.334,2.1933,2.3098,1.9297,2.644,2.897,3.1804,1.4458,2.8618,2.3825,1.7505,2.5903,2.6449,2.985,3.2302,3.8868,4.4927,5.3258
AT1G02050.1,1.2221,1.0928,1.8748,1.649,1.1674,1.2252,1.9426,1.8764,1.1872,2.1653,0.958,1.1124,1.45,1.4231,1.4558,1.4859,1.9113,1.9794,2.4127,2.4865,2.2079
AT1G02205.3,130.0466,207.0058,134.5133,286.98,195.823,157.0046,189.8095,164.4405,152.4235,174.2035,116.3158,156.9903,149.5246,112.8854,118.0685,159.4743,185.5988,199.8709,277.6652,323.0958,224.3851
AT1G02205.1,126.4955,188.2308,133.8345,258.6522,176.5854,151.1423,170.6756,148.4785,148.7547,158.6699,109.6717,149.073,135.3557,102.6515,116.4729,145.9936,168.3291,187.6874,251.9429,290.5286,212.3238
AT1G02205.2,134.5995,200.4725,142.4692,275.6351,188.1912,160.9392,181.8363,158.1626,158.2339,168.9945,116.7848,158.6914,144.2484,109.3418,123.9048,155.4361,179.2856,199.9164,268.4209,309.53,226.0396
AT1G02920.1,10.5075,15.6539,11.2329,11.3788,12.8957,15.2947,11.5583,18.484,14.5032,16.7013,14.1519,21.954,15.9269,21.0909,18.8622,24.4818,30.4815,21.2183,36.9803,30.5961,20.5176
AT1G03970.1,4.3012,4.6769,7.157,3.5798,4.2576,4.9079,3.3156,3.4688,4.6955,4.8307,2.7132,6.0999,4.6222,2.3358,8.2393,3.7767,4.3647,7.5835,7.8914,9.3171,9.1183
AT1G04220.1,65.5576,77.9242,71.6957,94.1048,72.7827,62.557,62.5173,54.7531,59.3995,61.4159,46.5103,74.8866,83.4463,66.5011,97.4545,63.7444,68.9091,88.3262,101.1507,127.3203,114.7455
AT1G05890.2,12.1215,10.6917,18.1976,14.7176,11.1585,14.2184,11.7902,15.2265,15.3277,16.016,9.1135,14.707,10.842,7.8441,15.6347,10.0729,15.8063,18.5694,19.4323,21.2194,21.2376
AT1G06570.1,5.8704,5.2578,9.911,5.7414,5.7403,6.6104,5.8318,8.3429,7.5686,8.6293,3.6808,6.3845,5.9777,5.0651,5.7825,7.2609,8.9567,11.3531,27.101,32.6524,25.6195
AT1G06570.2,5.897,5.2817,9.9559,5.7674,5.7663,6.6404,5.8582,8.3807,7.6028,8.6684,3.6975,6.4135,6.0048,5.088,5.8087,7.2938,8.9973,11.4046,27.2237,32.8003,25.7356
AT1G06923.1,0.3997,0.3722,0.4077,0.4474,0.9434,0.4946,0.2849,0.7644,0.5905,0.4635,0.3797,0.5224,0.6145,0.6421,0.5839,0.7793,0.9389,1.058,0.6989,1.4496,1.4566
AT1G07000.1,4.0446,4.3735,3.036,4.7981,4.2403,3.9069,3.1524,3.9932,3.5755,5.1137,3.7669,3.4958,4.6062,4.1903,4.0852,4.3209,5.0855,4.7706,6.6416,5.9883,6.3732
AT1G07040.1,10.5176,10.8878,10.6641,12.1345,10.4516,11.568,9.5939,11.0059,11.7366,13.5913,8.8755,10.8944,9.7645,9.8029,11.8953,10.8421,13.1717,13.5286,21.7702,24.2271,21.3858
AT1G07150.2,1.572,1.3143,1.4296,1.3639,1.7186,1.854,1.4546,2.7583,1.233,2.6997,1.6425,1.2564,1.3576,1.5814,1.3295,1.4607,1.7517,1.4326,2.328,2.449,2.412
AT1G07150.1,1.6413,1.3723,1.4927,1.4241,1.7944,1.9358,1.5188,2.8801,1.2874,2.8189,1.715,1.3118,1.4175,1.6512,1.3881,1.5252,1.829,1.4959,2.4308,2.5571,2.5184
AT1G07230.1,17.5034,25.6857,18.6103,33.4203,26.8624,19.7672,25.149,21.232,21.2731,23.1772,17.5902,17.6783,26.7875,21.5324,21.6941,29.9646,31.2406,26.6277,40.9349,40.4546,27.6664
AT1G07300.1,1.6356,2.2152,3.2408,1.8652,1.2196,3.299,2.1166,2.0199,3.2997,2.1998,2.4048,2.0813,2.0015,2.9754,4.2742,3.4511,4.6084,5.0597,3.857,5.2838,4.1342
AT1G07310.1,66.4405,78.8446,47.654,77.6721,86.7572,64.1246,75.0845,69.1573,72.6503,54.4353,74.9239,63.0237,80.977,88.07,59.802,87.5838,79.3529,71.9811,89.7106,114.4049,98.2254
