id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01270.1,0.001,0.001,0.5412,0.4293,2.1007,0.4272,0.001,0.5502,0.51,1.2297,1.9629,2.0016,0.001,1.231,0.001,0.001,0.001,1.054,0.001,0.4179,0.001
AT1G03700.1,2.6518,4.2363,2.7707,2.6741,3.3359,2.7562,3.4475,2.817,2.327,1.576,2.3335,1.4504,0.4508,0.7322,0.188,0.4043,0.6912,0.6269,0.3626,0.2333,0.3932
AT1G03820.1,1.6564,2.3849,2.5461,1.8417,1.9534,2.2202,1.5282,0.5912,1.179,0.6611,1.8388,1.4065,0.8349,0.2382,1.2489,0.5992,0.3553,0.9293,0.4224,0.5179,0.458
AT1G04660.1,1.2785,2.0215,2.1467,0.946,2.3466,1.4352,1.5404,1.819,2.6124,1.1533,1.4441,1.5461,0.7523,0.5212,0.5254,0.3432,0.3426,0.2721,0.18,0.346,0.2229
AT1G05450.2,1.8125,1.2092,2.4384,1.4958,1.5204,1.4886,1.253,1.2635,1.6476,0.7332,0.9474,1.3635,0.9887,1.083,1.1435,0.4411,0.4065,1.0169,0.3561,0.4269,0.3006
AT1G05450.1,1.6432,1.2023,2.6692,1.0586,1.2163,1.3166,0.6412,0.9335,1.7293,0.6648,1.0104,1.6993,0.9353,1.0135,1.2094,0.3201,0.3686,0.922,0.1441,0.4514,0.2338
AT1G05660.1,1.0169,2.6707,1.8846,1.4171,3.1567,2.6913,1.2479,2.3784,1.7452,1.9585,1.4557,1.5344,0.4559,0.4693,0.4717,0.3428,0.316,0.2964,0.1961,0.2516,0.1823
AT1G06520.1,1.0489,1.0448,1.5791,1.1453,0.8238,1.8381,1.0488,1.2728,1.9049,1.0734,0.9096,1.3373,0.594,0.5414,0.6186,0.222,0.3743,0.6637,0.5955,0.506,0.5741
AT1G06830.1,2.2052,3.0967,1.9035,3.2589,4.4378,2.7027,2.7633,0.9295,1.0765,1.905,2.3041,1.1283,1.8485,1.3294,2.4431,1.4574,0.7391,0.7921,0.9805,0.5296,0.5675
AT1G09350.1,2.6733,2.2565,2.6033,2.9315,1.84,2.4507,1.5698,2.1357,2.4808,1.3799,2.1847,2.5472,0.8018,0.5621,0.7969,0.6518,0.705,0.8656,0.5592,0.4346,0.3037
AT1G09500.1,0.9324,1.0514,1.1399,0.7446,0.7171,0.926,1.1701,0.8524,0.5375,0.7629,1.2986,1.1485,0.8142,0.8908,0.6598,0.3215,0.4145,0.3928,0.0585,0.3629,0.3127
AT1G09812.1,2.3094,2.4494,4.2848,2.4493,2.7115,3.6164,1.5309,1.9255,3.5679,0.7941,0.604,1.1078,1.2103,0.6059,0.4135,0.3823,1.2308,1.0366,0.8558,0.8467,0.6499
AT1G10360.1,2.8979,3.449,3.7729,3.6968,3.3367,3.9464,4.3498,2.3709,2.2372,2.1699,2.5663,2.1983,1.861,1.7701,1.9752,1.2987,1.832,1.0474,1.7101,0.8841,1.263
AT1G12064.1,16.376,11.9792,20.5597,11.4608,13.0484,14.9532,15.204,14.5021,17.0107,10.5223,15.0892,12.0756,6.8998,9.1189,7.5825,7.0708,5.3825,6.6798,4.3008,3.5213,5.4414
AT1G14240.2,6.1186,4.3262,8.3966,3.8369,3.9083,7.1823,2.8387,5.3023,6.2044,6.3077,4.3071,5.7693,2.8273,3.2204,6.2675,1.6077,2.4166,3.6902,0.8541,1.7743,2.5709
AT1G14240.1,6.2669,4.4126,8.5644,3.8778,3.9644,7.3258,2.8797,5.3853,6.2859,6.4594,4.3931,5.9263,2.9048,3.2676,6.416,1.6183,2.5046,3.7493,0.8711,1.8097,2.6432
AT1G14240.3,6.3264,4.4545,8.6456,3.9146,4.002,7.3953,2.907,5.4364,6.3455,6.5206,4.4348,5.9825,2.9111,3.2986,6.4769,1.6336,2.5283,3.7848,0.8794,1.8269,2.6683
AT1G14240.4,6.2408,4.3935,8.5869,3.8778,3.9644,7.3258,2.9111,5.3624,6.2859,6.485,4.4204,5.8845,2.8627,3.2676,6.416,1.6183,2.4648,3.7639,0.8711,1.8271,2.6223
AT1G14960.1,39.5787,53.496,30.2488,28.0585,65.4123,42.4785,34.0727,73.9572,31.7139,60.5342,49.6809,24.8476,27.3574,38.1483,17.5376,28.8378,26.9176,17.9101,12.6661,22.3088,13.1641
AT1G15010.1,10.134,11.3016,5.3778,12.2774,13.0278,7.184,12.9123,6.7069,5.2022,3.9961,7.1175,5.4436,5.3564,4.8434,3.5632,3.3624,2.6559,1.6779,2.5846,3.1546,1.1351
AT1G17020.1,27.4832,24.9203,46.5649,15.4547,17.7419,39.704,18.8018,30.0087,37.9756,29.1327,18.9789,31.9777,16.7672,16.9414,25.2383,13.7673,11.2818,24.1363,7.2097,10.4044,11.2679
AT1G17170.1,11.6179,15.5102,22.0786,6.4887,18.7012,27.777,8.0362,19.9791,25.1239,20.0466,14.9156,19.1922,8.1463,16.2106,18.9915,6.1968,5.274,9.2913,3.5891,5.9349,9.1644
AT1G17180.1,17.0997,22.431,23.2831,7.4693,26.1548,41.1606,9.8649,25.0406,28.531,25.3565,26.8279,24.2557,9.1744,13.7214,16.7182,5.9247,6.4087,8.8615,3.4267,5.7133,8.0159
AT1G18140.1,4.9383,7.0723,4.2029,9.9313,6.8124,4.7457,5.7421,4.7186,3.3784,3.7152,3.7377,2.066,4.6869,2.1623,2.5366,2.2305,2.4417,1.5537,1.5901,1.1229,1.0017
AT1G18870.1,9.5316,8.335,12.257,10.7931,6.7164,9.6701,6.5304,5.5203,5.7256,5.3436,5.8396,5.2395,1.7751,1.1894,2.5946,0.8201,1.2344,1.0863,0.9684,0.9356,1.1667
AT1G18870.2,9.1548,7.5973,11.7088,9.616,6.0226,8.8186,5.8099,4.884,5.4644,4.7581,5.3863,4.8572,1.5923,1.16,2.4066,0.6999,1.1133,1.0651,0.8746,0.7867,1.0308
AT1G20030.2,4.0355,4.5826,4.5062,4.3641,4.0947,5.0346,4.8287,3.9873,3.4198,1.912,4.3051,2.2781,2.4341,2.1264,2.3706,1.9817,2.0838,1.2668,1.3174,1.2226,0.8168
AT1G20030.1,4.5734,5.1593,5.115,4.9366,4.6191,5.7239,5.4915,4.5505,3.9029,2.1504,4.8796,2.5742,2.7779,2.3635,2.6767,2.2616,2.3536,1.4456,1.4796,1.3952,0.9321
AT1G20070.1,27.6287,24.9416,29.8785,29.1783,24.3784,26.8074,29.5648,19.8319,21.9825,14.2273,20.6092,18.6014,13.7088,14.7517,16.4459,11.7402,10.1799,9.8526,7.6593,9.5219,7.12
AT1G22600.1,1.676,1.6346,1.8436,0.6527,1.5436,0.985,1.4851,3.1426,2.1912,1.9353,0.8932,1.182,0.5569,0.8616,0.3825,0.652,0.4509,0.7377,0.3902,0.5917,1.2672
AT1G24580.1,14.9739,6.2596,14.8903,0.5204,1.2163,2.9611,0.6662,1.3937,1.7406,0.8138,1.0825,1.3243,0.2791,1.1762,0.4942,0.6279,1.1563,1.2393,0.6142,0.6445,1.3865
